record_id_1,record_id_2,similarity_score
546,15635,0.85
546,24607,0.85
15635,24607,0.85
19751,30026,0.85
19751,31010,0.85
30026,31010,0.85
16165,22148,0.85
16165,28856,0.85
22148,28856,0.85
13962,16446,0.85
15744,18349,0.85
8312,14215,0.85
8312,22971,0.85
14215,22971,0.85
13090,23805,0.85
13090,31454,0.85
23805,31454,0.85
7223,24207,0.85
18823,23792,0.85
18823,26537,0.85
23792,26537,0.85
8218,13469,0.85
3271,15430,0.85
3271,27213,0.85
15430,27213,0.85
9965,19859,0.85
9965,28016,0.85
19859,28016,0.85
2705,6913,0.85
2705,28378,0.85
6913,28378,0.85
99,2499,0.85
99,33007,0.85
2499,33007,0.85
6134,6906,0.85
9117,9872,0.85
9117,16457,0.85
9872,16457,0.85
23193,23421,0.85
10433,12362,0.85
10433,19618,0.85
10433,32560,0.85
12362,19618,0.85
12362,32560,0.85
19618,32560,0.85
2252,25654,0.85
771,4470,0.85
8060,16753,0.85
13232,13415,0.85
7364,21747,0.85
7364,30037,0.85
21747,30037,0.85
1069,12582,0.85
1069,20829,0.85
12582,20829,0.85
16129,21041,0.85
25090,30140,0.85
15608,25384,0.85
16041,22410,0.85
10682,14656,0.85
8804,24966,0.85
10518,26821,0.85
6670,15573,0.85
6670,22022,0.85
15573,22022,0.85
17592,20257,0.85
8738,13381,0.85
6327,25773,0.85
12659,28489,0.85
4238,10224,0.85
7799,17811,0.85
7799,30727,0.85
17811,30727,0.85
1633,17306,0.85
1518,2444,0.85
1518,23551,0.85
2444,23551,0.85
2286,13782,0.85
2286,29173,0.85
13782,29173,0.85
8703,22516,0.85
24479,25534,0.85
24479,28466,0.85
25534,28466,0.85
4624,15020,0.85
4624,27060,0.85
15020,27060,0.85
9422,13762,0.85
9422,17087,0.85
9422,21341,0.85
13762,17087,0.85
13762,21341,0.85
17087,21341,0.85
13592,31231,0.85
2675,13933,0.85
2675,17977,0.85
13933,17977,0.85
11750,14256,0.85
11750,16967,0.85
14256,16967,0.85
1627,2324,0.85
10226,19723,0.85
10226,31429,0.85
10226,31710,0.85
19723,31429,0.85
19723,31710,0.85
31429,31710,0.85
6867,9539,0.85
6867,29431,0.85
6867,30368,0.85
9539,29431,0.85
9539,30368,0.85
29431,30368,0.85
2683,21363,0.85
2632,23067,0.85
11083,18095,0.85
11083,31701,0.85
18095,31701,0.85
6202,14839,0.85
6202,18080,0.85
6202,28783,0.85
14839,18080,0.85
14839,28783,0.85
18080,28783,0.85
11282,16702,0.85
16958,25271,0.85
16958,29686,0.85
25271,29686,0.85
14417,16465,0.85
18759,18842,0.85
18759,25275,0.85
18759,26391,0.85
18842,25275,0.85
18842,26391,0.85
25275,26391,0.85
339,14246,0.85
945,5422,0.85
945,5658,0.85
2366,14030,0.85
2366,24453,0.85
2366,33247,0.85
3765,4736,0.85
3765,12007,0.85
4736,12007,0.85
5422,5658,0.85
5691,15228,0.85
5691,23726,0.85
6207,21525,0.85
6207,23889,0.85
7513,21027,0.85
7513,32180,0.85
8043,16961,0.85
8043,22906,0.85
8043,33285,0.85
8220,24800,0.85
8756,13260,0.85
8756,31751,0.85
9225,24773,0.85
9225,24875,0.85
9550,20847,0.85
9550,21997,0.85
10578,25506,0.85
10578,28655,0.85
13260,31751,0.85
14030,24453,0.85
14030,33247,0.85
15228,23726,0.85
16961,22906,0.85
16961,33285,0.85
18884,31831,0.85
20847,21997,0.85
21027,32180,0.85
21525,23889,0.85
22906,33285,0.85
23185,33109,0.85
24453,33247,0.85
24617,27846,0.85
24617,29791,0.85
24773,24875,0.85
25506,28655,0.85
27846,29791,0.85
2503,3316,0.85
2503,4898,0.85
2503,23090,0.85
3316,4898,0.85
3316,23090,0.85
4898,23090,0.85
6727,23316,0.85
13332,27812,0.85
2042,3610,0.85
2042,14980,0.85
3610,14980,0.85
6168,8985,0.85
6168,29895,0.85
8985,29895,0.85
5447,30899,0.85
12753,17837,0.85
12753,20490,0.85
17837,20490,0.85
11198,22598,0.85
11198,25396,0.85
22598,25396,0.85
7257,8574,0.85
7257,29688,0.85
8574,29688,0.85
5615,13761,0.85
5615,24650,0.85
8042,32402,0.85
13761,24650,0.85
15204,15588,0.85
5526,15207,0.85
5526,26468,0.85
15207,26468,0.85
3912,11634,0.85
15436,15559,0.85
15436,21901,0.85
15559,21901,0.85
1964,4969,0.85
1964,6930,0.85
4969,6930,0.85
9551,17067,0.85
9551,30487,0.85
17067,30487,0.85
11615,30287,0.85
2217,4180,0.85
2217,25269,0.85
4180,25269,0.85
2783,30004,0.85
2783,33257,0.85
30004,33257,0.85
6997,10973,0.85
6997,12247,0.85
10973,12247,0.85
3430,29628,0.85
3430,29833,0.85
29628,29833,0.85
20868,27390,0.85
2856,5162,0.85
2856,21354,0.85
2856,26534,0.85
5162,21354,0.85
5162,26534,0.85
21354,26534,0.85
27097,27248,0.85
27097,32624,0.85
27248,32624,0.85
1952,21102,0.85
2935,20276,0.85
2935,22660,0.85
19611,20525,0.85
20276,22660,0.85
5845,5855,0.85
5845,27936,0.85
5855,27936,0.85
187,28975,0.85
187,30786,0.85
28975,30786,0.85
5002,11315,0.85
16025,27804,0.85
16025,28390,0.85
16813,23975,0.85
27804,28390,0.85
2785,7627,0.85
2785,30357,0.85
7627,30357,0.85
30691,33218,0.85
2191,10467,0.85
2191,18911,0.85
10467,18911,0.85
7518,8441,0.85
7518,9375,0.85
7518,31151,0.85
8441,9375,0.85
8441,31151,0.85
9375,31151,0.85
3275,19337,0.85
4790,6812,0.85
20008,27635,0.85
20008,27865,0.85
